User,Timestamp,Time Zone
test,2020-06-22T00:50:30.415154Z,America/Denver
test,2020-06-22T00:54:06.832797Z,America/Denver
test,2020-06-22T02:17:28.818576Z,America/Denver
test,2020-06-22T02:28:15.314665Z,America/Denver
test,2020-06-22T02:28:22.048190Z,America/Denver
test,2020-06-22T02:30:53.288183Z,America/Denver
test,2020-06-22T02:33:52.948469Z,America/Denver
test,2020-06-22T02:45:25.021133Z,America/Denver
test,2020-06-22T02:47:24.428878Z,America/Denver
test,2020-06-22T02:54:01.087859Z,America/Denver
test,2020-06-22T02:56:11.017292Z,America/Denver
test,2020-06-22T02:58:12.143782Z,America/Denver
test,2020-06-22T03:00:41.886211Z,America/Denver
test,2020-06-26T03:35:58.878501Z,America/Denver
test,2020-06-26T03:41:22.144766Z,America/Denver
test,2020-06-26T03:41:49.341784Z,America/Denver
test,2020-06-26T03:42:20.157643Z,America/Denver
test,2020-06-26T03:43:13.149293Z,America/Denver
test,2020-06-26T03:44:55.388684Z,America/Denver
test,2020-06-26T03:45:48.815600Z,America/Denver
test,2020-06-26T03:46:46.835758Z,America/Denver
test,2020-06-28T22:45:22.289518Z,America/Denver
test,2020-06-28T22:46:30.431120Z,America/Denver
test,2020-06-28T22:47:04.778037Z,America/Denver
test,2020-06-28T22:48:00.318827Z,America/Denver
test,2020-06-28T22:48:36.519709Z,America/Denver
test,2020-06-28T22:49:59.899432Z,America/Denver
test,2020-06-28T22:51:07.872589Z,America/Denver
test,2020-06-28T22:52:43.518647Z,America/Denver
test,2020-06-28T23:01:30.660339Z,America/Denver
test,2020-06-28T23:02:54.622885Z,America/Denver
test,2020-06-28T23:04:53.386430Z,America/Denver
test,2020-06-28T23:05:27.640801Z,America/Denver
test,2020-06-28T23:05:47.623904Z,America/Denver
test,2020-06-28T23:43:47.879384Z,America/Denver
test,2020-06-29T00:30:09.732689Z,America/Denver
test,2020-06-29T00:30:27.694359Z,America/Denver
test,2020-06-29T00:31:52.081384Z,America/Denver
test,2020-06-29T00:33:21.866369Z,America/Denver
test,2020-06-29T00:52:23.977770Z,America/Denver
test,2020-06-29T00:58:19.152429Z,America/Denver
test,2020-06-29T00:59:56.940356Z,America/Denver
test,2020-06-29T01:00:33.324206Z,America/Denver
test,2020-06-29T01:05:03.676053Z,America/Denver
test,2020-06-29T03:10:02.406450Z,America/Denver
test,2020-07-04T23:31:20.594260Z,America/Denver
test,2020-07-04T23:33:15.479417Z,America/Denver
test,2020-07-04T23:35:07.632112Z,America/Denver
test,2020-07-09T02:15:28.202398Z,America/Denver
test,2020-07-09T03:46:52.650183Z,America/Denver
test,2020-07-09T03:50:10.022966Z,America/Denver
test,2020-07-09T03:52:27.955200Z,America/Denver
test,2020-07-09T03:52:40.910446Z,America/Denver
test,2020-07-09T03:53:35.773149Z,America/Denver
test,2020-07-09T03:55:12.057371Z,America/Denver
test,2020-07-09T03:56:42.931984Z,America/Denver
test,2020-07-11T23:22:23.222440Z,America/Denver
test,2020-07-11T23:24:12.640571Z,America/Denver
test,2020-07-11T23:24:55.474601Z,America/Denver
test,2020-07-11T23:27:55.863540Z,America/Denver
test,2020-07-11T23:29:28.121815Z,America/Denver
test,2020-07-11T23:30:12.127918Z,America/Denver
test,2020-07-11T23:30:57.984886Z,America/Denver
test,2020-07-11T23:31:53.807125Z,America/Denver
test,2020-07-11T23:32:24.825093Z,America/Denver
test,2020-07-11T23:32:58.467574Z,America/Denver
test,2020-07-11T23:36:31.810438Z,America/Denver
test,2020-07-11T23:43:30.144861Z,America/Denver
test,2020-07-11T23:44:22.321491Z,America/Denver
